Tue, 02 Jan 2018 19:25:03 _internal.py[line:87] INFO  * Running on https://0.0.0.0:2018/ (Press CTRL+C to quit)
Wed, 03 Jan 2018 12:53:10 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:53:40 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:54:11 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:54:41 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:55:11 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:55:41 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:56:11 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:56:41 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:57:11 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:57:41 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:58:11 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:58:41 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:59:11 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:59:41 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:00:11 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:00:41 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:01:11 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:01:42 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:02:12 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:02:42 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:03:12 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:03:42 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:04:12 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:04:42 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
